uniqid,lat,long,Address,Street number,Street,City,State,Country,Zip,Address components,timestamp
118,34.1711,-119.177,"3151 Samuel Ave, Oxnard, CA 93033, USA",3151,Samuel Avenue,Oxnard,California,United States,93033,"3151, Samuel Avenue, Blackstock North, Oxnard, Ventura County, California, United States, 93033",11/18/17 22:29
119,35.7468,-119.247,"610-700 Woollomes Ave, Delano, CA 93215, USA",610-700,Woollomes Avenue,Delano,California,United States,93215,"610-700, Woollomes Avenue, Delano, Kern County, California, United States, 93215",11/18/17 18:03
120,44.9004,-91.9325,"1505 N Broadway St, Menomonie, WI 54751, USA",1505,Broadway Street,Menomonie,Wisconsin,United States,54751,"1505, Broadway Street, Menomonie, Dunn County, Wisconsin, United States, 54751",11/17/17 18:56
121,21.3364,-157.914,"3299 N Nimitz Hwy, Honolulu, HI 96819, USA",3299,North Nimitz Highway,Honolulu,Hawaii,United States,96819,"3299, North Nimitz Highway, Honolulu, Honolulu County, Hawaii, United States, 96819",11/17/17 18:51
122,33.5483,-83.2044,"2331 S Main St, Greensboro, GA 30642, USA",2331,South Main Street,Greensboro,Georgia,United States,30642,"2331, South Main Street, Greensboro, Greene County, Georgia, United States, 30642, 2752",11/17/17 17:43
123,35.242,-106.691,"961-999 Western Hills Dr NE, Rio Rancho, NM 87124, USA",961-999,Western Hills Drive Northeast,Rio Rancho,New Mexico,United States,87124,"961-999, Western Hills Drive Northeast, Rio Rancho, Sandoval County, New Mexico, United States, 87124",11/17/17 16:12
124,30.1743,-97.8266,"2114 W Slaughter Ln, Austin, TX 78748, USA",2114,West Slaughter Lane,Austin,Texas,United States,78748,"2114, West Slaughter Lane, South Austin, Austin, Travis County, Texas, United States, 78748, 5977",11/17/17 16:03
125,42.0717,-94.8767,"912 Lincoln Hwy, Carroll, IA 51401, USA",912,Lincoln Highway,Carroll,Iowa,United States,51401,"912, Lincoln Highway, Carroll, Carroll County, Iowa, United States, 51401, 2139",11/17/17 12:20
126,33.0715,-117.071,"3350-3400 Del Lago Blvd, Escondido, CA 92029, USA",3350-3400,Del Lago Boulevard,Escondido,California,United States,92029,"3350-3400, Del Lago Boulevard, Felicita, Escondido, San Diego County, California, United States, 92029",11/17/17 14:30
127,29.2227,-82.1467,"3455 N Pine Ave, Ocala, FL 34475, USA",3455,North Pine Avenue,Ocala,Florida,United States,34475,"3455, North Pine Avenue, Ocala, Marion County, Florida, United States, 34475, 2601",11/17/17 12:28
128,34.3401,-79.533,"111 Mill Branch Rd, Latta, SC 29565, USA",111,Mill Branch Road,Latta,South Carolina,United States,29565,"111, Mill Branch Road, Latta, Dillon County, South Carolina, United States, 29565",11/17/17 9:47
129,40.7852,-77.83,"2167 S Atherton St, State College, PA 16801, USA",2167,South Atherton Street,State College,Pennsylvania,United States,16801,"2167, South Atherton Street, State College, College Township, Centre County, Pennsylvania, United States, 16801",11/17/17 9:12
130,30.7827,-85.2466,"4194 Lafayette St, Marianna, FL 32446, USA",4194,Lafayette Street,Marianna,Florida,United States,32446,"4194, Lafayette Street, Marianna, Jackson County, Florida, United States, 32446",11/16/17 20:10
131,31.8066,-95.1521,"329 N Dickinson Dr, Rusk, TX 75785, USA",329,North Dickinson Drive,Rusk,Texas,United States,75785,"329, North Dickinson Drive, Rusk, Cherokee County, Texas, United States, 75785",11/16/17 19:10
132,34.9916,-86.8406,"26862 Main St, Ardmore, AL 35739, USA",26862,Main Street,Ardmore,Alabama,United States,35739,"26862, Main Street, Ardmore, Limestone County, Alabama, United States, 35739",11/16/17 17:41
133,39.3665,-101.056,"2000 S Range Ave, Colby, KS 67701, USA",2000,South Range Avenue,Colby,Kansas,United States,67701,"2000, South Range Avenue, Colby, Thomas County, Kansas, United States, 67701",11/16/17 17:36
134,39.2744,-81.5814,"1010 Washington Blvd, Belpre, OH 45714, USA",1010,Washington Boulevard,Belpre,Ohio,United States,45714,"1010, Washington Boulevard, Belpre, Washington County, Ohio, United States, 45714, 2378",11/16/17 16:36
135,26.192,-98.1214,"1018 W Frontage Rd, Alamo, TX 78516, USA",1018,West Frontage Road,Alamo,Texas,United States,78516,"1018, West Frontage Road, Alamo, Hidalgo County, Texas, United States, 78516",11/15/17 17:24
136,29.7034,-95.587,"11825 Bellaire Blvd, Houston, TX 77072, USA",11825,Bellaire Boulevard,Houston,Texas,United States,77072,"11825, Bellaire Boulevard, Westside, Houston, Harris County, Texas, United States, 77072, 2453",11/16/17 13:35
137,28.1806,-81.4397,"Village Shoppes Dr, Kissimmee, FL 34746, USA",,Village Shoppes Drive,Kissimmee,Florida,United States,34746,"Village Shoppes Drive, Kissimmee, Osceola County, Florida, United States, 34746",11/16/17 11:34
138,42.0219,-93.6109,"129 S Duff Ave, Ames, IA 50010, USA",129,South Duff Avenue,Ames,Iowa,United States,50010,"129, South Duff Avenue, Ames, Washington, Story County, Iowa, United States, 50010, 6639",11/16/17 11:22
139,39.9266,-86.1586,"9536 N Meridian St, Indianapolis, IN 46260, USA",9536,North Meridian Street,Indianapolis,Indiana,United States,46260,"9536, North Meridian Street, Washington Township, Indianapolis, Washington Township, Marion County, Indiana, United States, 46260, 1311",11/16/17 10:08
140,40.4957,-80.2563,"1000 Airport Blvd, Moon, PA 15108, USA",1000,Airport Boulevard,Moon,Pennsylvania,United States,15108,"1000, Airport Boulevard, Moon, Allegheny County, Pennsylvania, United States, 15108",11/15/17 22:40
141,29.7765,-95.8316,"21901 Katy Fwy, Katy, TX 77450, USA",21901,Katy Freeway,Katy,Texas,United States,77450,"21901, Katy Freeway, Katy, Fort Bend County, Texas, United States, 77450, 1738",11/15/17 20:12
142,29.7856,-95.8225,"5701 Hwy Blvd, Katy, TX 77494, USA",5701,Highway Boulevard,Katy,Texas,United States,77494,"5701, Highway Boulevard, Katy Townsite, Katy, Fort Bend County, Texas, United States, 77494",11/15/17 19:13
143,30.7488,-85.3825,"2510 US-231, Cottondale, FL 32431, USA",2510,U.S. 231,Cottondale,Florida,United States,32431,"2510, U.S. 231, Cottondale, Jackson County, Florida, United States, 32431",11/15/17 17:57
144,27.7524,-98.0821,"212 N Johnson St, Alice, TX 78332, USA",212,North Johnson Street,Alice,Texas,United States,78332,"212, North Johnson Street, Alice, Jim Wells County, Texas, United States, 78332, 4522",11/15/17 17:18
145,34.7545,-82.2668,"902-912 SC-417, Simpsonville, SC 29681, USA",902-912,Northeast Main Street,Simpsonville,South Carolina,United States,29681,"902-912, Northeast Main Street, Simpsonville, Greenville County, South Carolina, United States, 29681",11/15/17 15:38
146,40.5099,-88.9562,"Plaza Dr, Normal, IL 61761, USA",,Plaza Drive,Normal,Illinois,United States,61761,"Plaza Drive, Normal, Normal Township, McLean County, Illinois, United States, 61761",11/15/17 15:19
147,32.8791,-97.381,"1165 N Saginaw Blvd, Saginaw, TX 76179, USA",1165,North Saginaw Boulevard,Saginaw,Texas,United States,76179,"1165, North Saginaw Boulevard, Saginaw, Tarrant County, Texas, United States, 76179, 1149",11/15/17 14:41
148,33.161,-84.8744,"1829 E Main St, Hogansville, GA 30230, USA",1829,East Main Street,Hogansville,Georgia,United States,30230,"1829, East Main Street, Hogansville, Troup County, Georgia, United States, 30230, 2756",11/15/17 13:57
149,38.2116,-85.5975,"8600 Citadel Way, Louisville, KY 40220, USA",8600,Citadel Way,Louisville,Kentucky,United States,40220,"8600, Citadel Way, Louisville, Jefferson County, Kentucky, United States, 40220, 4051",11/15/17 12:20
150,38.6762,-90.2507,"4979 Natural Bridge Ave, St. Louis, MO 63115, USA",4979,Natural Bridge Avenue,St. Louis,Missouri,United States,63115,"4979, Natural Bridge Avenue, Penrose, St. Louis, Missouri, United States, 63115",11/15/17 11:26
151,35.9725,-87.1283,"2233 Fairview Blvd, Fairview, TN 37062, USA",2233,Fairview Boulevard,Fairview,Tennessee,United States,37062,"2233, Fairview Boulevard, Fairview, Williamson County, Tennessee, United States, 37062, 9070",11/14/17 21:41
152,36.1248,-86.7515,"2212 Nolensville Pike, Nashville, TN 37211, USA",2212,Nolensville Pike,Nashville,Tennessee,United States,37211,"2212, Nolensville Pike, South Nashville, Nashville, Davidson County, Tennessee, United States, 37211, 2025",11/14/17 21:01
153,43.5289,-96.687,"3101 E 26th St, Sioux Falls, SD 57103, USA",3101,East 26th Street,Sioux Falls,South Dakota,United States,57103,"3101, East 26th Street, Sioux Falls, Minnehaha County, South Dakota, United States, 57103, 4033",11/11/17 12:32
154,33.8008,-116.521,"2333-2429 E Palm Canyon Dr, Palm Springs, CA 92264, USA",2333-2429,East Palm Canyon Drive,Palm Springs,California,United States,92264,"2333-2429, East Palm Canyon Drive, Palm Springs, Riverside County, California, United States, 92264",11/14/17 15:09
155,41.0362,-78.4008,"14543 Clearfield Shawville Hwy, Clearfield, PA 16830, USA",14543,Clearfield Shawville Highway,Clearfield,Pennsylvania,United States,16830,"14543, Clearfield Shawville Highway, Clearfield, Lawrence Township, Clearfield County, Pennsylvania, United States, 16830, 6111",11/14/17 14:28
156,40.2194,-85.4314,"3301 N Chadam Ln, Muncie, IN 47304, USA",3301,North Chadam Lane,Muncie,Indiana,United States,47304,"3301, North Chadam Lane, Muncie, Center Township, Delaware County, Indiana, United States, 47304, 5274",11/14/17 13:51
157,35.8192,-78.6248,"2801 Wake Forest Rd, Raleigh, NC 27609, USA",2801,Wake Forest Road,Raleigh,North Carolina,United States,27609,"2801, Wake Forest Road, North Hills, Raleigh, Raleigh, Wake County, North Carolina, United States, 27609",11/14/17 10:27
158,29.1817,-95.4323,"1712 N Velasco St, Angleton, TX 77515, USA",1712,North Velasco Street,Angleton,Texas,United States,77515,"1712, North Velasco Street, Angleton, Brazoria County, Texas, United States, 77515",11/14/17 5:00
159,30.5353,-97.6906,,,,,,,,,11/13/17 19:51
160,30.006,-90.2387,"2145 Veterans Memorial Blvd, Kenner, LA 70062, USA",2145,Veterans Memorial Boulevard,Kenner,Louisiana,United States,70062,"2145, Veterans Memorial Boulevard, Kenner, 4, Jefferson Parish, Louisiana, United States, 70062",11/13/17 19:26
161,34.8912,-116.999,,,,,,,,,11/13/17 17:52
162,28.4915,-81.4296,"4075 Millenia Blvd, Orlando, FL 32839, USA",4075,Millenia Boulevard,Orlando,Florida,United States,32839,"4075, Millenia Boulevard, Southwest Orlando, Orlando, Orange County, Florida, United States, 32839, 2425",11/13/17 16:31
163,31.6052,-97.1076,,,,,,,,,11/13/17 16:04
164,35.9978,-94.1978,"1200 W Wilson St, Fayetteville, AR 72701, USA",1200,West Wilson Street,Fayetteville,Arkansas,United States,72701,"1200, West Wilson Street, Fayetteville, Greenland Township, Washington County, Arkansas, United States, 72701, 9006",11/13/17 16:03
165,34.2074,-82.1887,"1101-1145 Mathis Rd, Greenwood, SC 29649, USA",1101-1145,Mathis Road,Greenwood,South Carolina,United States,29649,"1101-1145, Mathis Road, Greenwood, Greenwood County, South Carolina, United States, 29649",11/13/17 15:13
166,30.3992,-97.7469,"10732 Research Blvd, Austin, TX 78759, USA",10732,Research Boulevard,Austin,Texas,United States,78759,"10732, Research Boulevard, Oakview, Austin, Travis County, Texas, United States, 78759, 5745",11/13/17 13:06
167,33.746,-117.822,"14982 Prospect Ave, Tustin, CA 92780, USA",14982,Prospect Avenue,Tustin,California,United States,92780,"14982, Prospect Avenue, Tustin, Orange County, California, United States, 92780, 3660",11/13/17 13:05
168,41.8795,-87.6336,"180 W Adams St, Chicago, IL 60603, USA",180,West Adams Street,Chicago,Illinois,United States,60603,"180, West Adams Street, Chicago Loop, Chicago, Cook County, Illinois, United States, 60603",11/13/17 12:59
169,34.1085,-82.8608,"300 Elbert St, Elberton, GA 30635, USA",300,Elbert Street,Elberton,Georgia,United States,30635,"300, Elbert Street, Elberton, Elbert County, Georgia, United States, 30635",11/13/17 11:26
170,36.3257,-86.7017,"304 Long Hollow Pike, Goodlettsville, TN 37072, USA",304,Long Hollow Pike,Goodlettsville,Tennessee,United States,37072,"304, Long Hollow Pike, Goodlettsville, Davidson County, Tennessee, United States, 37072, 1876",11/13/17 11:16
171,39.1872,-86.5337,"2300 N Walnut St, Bloomington, IN 47404, USA",2300,North Walnut Street,Bloomington,Indiana,United States,47404,"2300, North Walnut Street, Bloomington, Bloomington Township, Monroe County, Indiana, United States, 47404, 2005",11/13/17 10:44
172,43.1935,-88.1274,"N92 W17512 County Line Rd, Germantown, WI 53022, USA",N92 W17512,County Line Road,Germantown,Wisconsin,United States,53022,"N92 W17512, County Line Road, Germantown, Washington County, Wisconsin, United States, 53022",11/13/17 10:35
173,28.6598,-81.4197,"240 FL-434, Altamonte Springs, FL 32714, USA",240,Florida 434,Altamonte Springs,Florida,United States,32714,"240, Florida 434, Altamonte Springs, Seminole County, Florida, United States, 32714",11/13/17 9:43
174,35.0574,-98.255,"714 W Petree Rd, Anadarko, OK 73005, USA",714,West Petree Road,Anadarko,Oklahoma,United States,73005,"714, West Petree Road, Anadarko, Caddo County, Oklahoma, United States, 73005",11/12/17 13:50
175,29.5483,-98.292,"713 Pat Booker Rd, Universal City, TX 78148, USA",713,Pat Booker Road,Universal City,Texas,United States,78148,"713, Pat Booker Road, Northeast Side, Universal City, Bexar County, Texas, United States, 78148, 4127",11/12/17 17:55
176,31.9626,-95.2696,"402 S Jackson St, Jacksonville, TX 75766, USA",402,South Jackson Street,Jacksonville,Texas,United States,75766,"402, South Jackson Street, Jacksonville, Cherokee County, Texas, United States, 75766, 4916",11/12/17 17:47
177,34.8912,-116.999,"1611 E Main St, Barstow, CA 92311, USA",1611,East Main Street,Barstow,California,United States,92311,"1611, East Main Street, Barstow, San Bernardino County, California, United States, 92311, 3239",11/12/17 14:25
178,44.5786,-91.2087,"50656 Radcliff St, Osseo, WI 54758, USA",50656,Radcliff Street,Osseo,Wisconsin,United States,54758,"50656, Radcliff Street, Osseo, Trempealeau County, Wisconsin, United States, 54758",11/12/17 12:35
179,29.9562,-82.9238,"102 US-27, Branford, FL 32008, USA",102,U.S. 27,Branford,Florida,United States,32008,"102, U.S. 27, Branford, Suwannee County, Florida, United States, 32008",11/12/17 12:04
180,43.2214,-88.1069,"N112W15936 Mequon Rd, Germantown, WI 53022, USA",N112W15936,Mequon Road,Germantown,Wisconsin,United States,53022,"N112W15936, Mequon Road, Germantown, Washington County, Wisconsin, United States, 53022",11/12/17 11:42
181,40.0614,-81.0542,"66640 Belmont Morristown Rd, Belmont, OH 43718, USA",66640,Belmont Morristown Road,Belmont,Ohio,United States,43718,"66640, Belmont Morristown Road, Belmont, Union Township, Belmont County, Ohio, United States, 43718",11/12/17 10:46
182,36.2199,-86.6945,"201 Rudy Cir, Nashville, TN 37214, USA",201,Rudy Circle,Nashville,Tennessee,United States,37214,"201, Rudy Circle, Donelson, Nashville, Davidson County, Tennessee, United States, 37214, 1005",11/12/17 8:50
183,28.4521,-81.3369,"3713 McCoy Rd, Orlando, FL 32812, USA",3713,McCoy Road,Orlando,Florida,United States,32812,"3713, McCoy Road, Orlando, Orange County, Florida, United States, 32812",11/11/17 20:54
184,28.2622,-81.6186,"8279 Champions Gate Blvd, Championsgate, FL 33896, USA",8279,Championsgate Boulevard,Four Corners,Florida,United States,33896,"8279, Championsgate Boulevard, ChampionsGate, Four Corners, Osceola County, Florida, United States, 33896, 8387",11/11/17 18:39
185,29.7831,-95.7531,"22003 Katy Fwy, Katy, TX 77450, USA",22003,Katy Freeway,Katy,Texas,United States,77450,"22003, Katy Freeway, West Memorial, Katy, Harris County, Texas, United States, 77450, 1739",11/11/17 17:54
186,30.3386,-97.7557,"5719-5927 Balcones Dr, Austin, TX 78731, USA",5719-5927,Balcones Drive,Austin,Texas,United States,78731,"5719-5927, Balcones Drive, Allandale, Austin, Travis County, Texas, United States, 78731",11/11/17 17:38
187,34.2618,-77.8292,"6860 Market St, Wilmington, NC 28405, USA",6860,Market Street,Wilmington,North Carolina,United States,28405,"6860, Market Street, Wilmington, Wilmington, New Hanover County, North Carolina, United States, 28405, 9723",11/11/17 16:19
188,34.6745,-118.153,"1220-1240 W Ave K, Lancaster, CA 93534, USA",1220-1240,West Avenue K,Lancaster,California,United States,93534,"1220-1240, West Avenue K, Lancaster, Los Angeles County, California, United States, 93534, 5922",11/11/17 15:15
189,33.5661,-117.708,"27321 La Paz Rd, Laguna Niguel, CA 92677, USA",27321,La Paz Road,Laguna Niguel,California,United States,92677,"27321, La Paz Road, Laguna Niguel, Orange County, California, United States, 92677, 3608",11/11/17 14:50
190,43.1021,-89.346,"2733 E Washington Ave, Madison, WI 53704, USA",2733,East Washington Avenue,Madison,Wisconsin,United States,53704,"2733, East Washington Avenue, Madison, Dane County, Wisconsin, United States, 53704",11/11/17 14:38
191,40.1913,-85.3813,"500 E Charles St, Muncie, IN 47305, USA",500,East Charles Street,Muncie,Indiana,United States,47305,"500, East Charles Street, Downtown, Muncie, Center Township, Delaware County, Indiana, United States, 47305, 2610",11/11/17 14:18
192,40.371,-80.6869,"150-166 Frank P. Layman Blvd, Wintersville, OH 43953, USA",150-166,Frank P. Layman Boulevard,Wintersville,Ohio,United States,43953,"150-166, Frank P. Layman Boulevard, Wintersville, Cross Creek Township, Jefferson County, Ohio, United States, 43953",11/11/17 13:47
193,32.6603,-117.034,"4344 Bonita Rd, Bonita, CA 91902, USA",4344,Bonita Road,Bonita,California,United States,91902,"4344, Bonita Road, Bonita, San Diego County, California, United States, 91902, 1421",11/11/17 13:39
194,34.0435,-118.422,"2391-2399 Parnell Ave, Los Angeles, CA 90064, USA",2391-2399,Parnell Avenue,Los Angeles,California,United States,90064,"2391-2399, Parnell Avenue, Rancho Park, Los Angeles, Los Angeles County, California, United States, 90064",11/11/17 13:17
195,38.6998,-80.664,"1990 Sutton Ln, Sutton, WV 26601, USA",1990,Sutton Lane,Sutton,West Virginia,United States,26601,"1990, Sutton Lane, Sutton, Eastern, Braxton County, West Virginia, United States, 26601, 9538",11/11/17 12:04
196,33.5285,-101.868,"2431 73rd St, Lubbock, TX 79423, USA",2431,73rd Street,Lubbock,Texas,United States,79423,"2431, 73rd Street, Lubbock, Lubbock County, Texas, United States, 79423",11/11/17 11:50
197,34.3401,-79.533,"111 Mill Branch Rd, Latta, SC 29565, USA",111,Mill Branch Road,Latta,South Carolina,United States,29565,"111, Mill Branch Road, Latta, Dillon County, South Carolina, United States, 29565",11/11/17 11:07
198,34.7515,-92.3418,"104 S University Ave, Little Rock, AR 72205, USA",104,South University Avenue,Little Rock,Arkansas,United States,72205,"104, South University Avenue, Briarwood, Little Rock, Big Rock Township, Pulaski County, Arkansas, United States, 72205, 5203",11/11/17 10:58
199,29.9288,-90.0911,"3321 St Charles Ave, New Orleans, LA 70115, USA",3321,Saint Charles Avenue,New Orleans,Louisiana,United States,70115,"3321, Saint Charles Avenue, Milan, New Orleans, Orleans Parish, Louisiana, United States, 70115, 4533",11/11/17 10:56
200,42.9018,-78.6837,"5150 US-20, Depew, NY 14043, USA",5150,U.S. 20,Depew,New York,United States,14043,"5150, U.S. 20, Depew, Lancaster, Erie County, New York, United States, 14043, 4021",11/11/17 10:26
201,32.7626,-97.4831,"9559 Clifford St, Fort Worth, TX 76108, USA",9559,Clifford Street,Fort Worth,Texas,United States,76108,"9559, Clifford Street, Fort Worth, Tarrant County, Texas, United States, 76108, 4404",11/11/17 9:22
202,39.93,-77.9902,,,,,,,,,11/11/17 6:12
203,31.8598,-106.559,"665 Redd Rd, El Paso, TX 79912, USA",665,Redd Road,El Paso,Texas,United States,79912,"665, Redd Road, Desierto Plaza, El Paso, El Paso County, Texas, United States, 79912",11/11/17 1:51
204,42.1046,-91.2662,"162 Chamber Dr, Anamosa, IA 52205, USA",162,Chamber Drive,Anamosa,Iowa,United States,52205,"162, Chamber Drive, Anamosa, Fairview, Jones County, Iowa, United States, 52205, 2113",11/10/17 21:52
205,44.0302,-92.6302,"955 High Point Pl NE, Byron, MN 55920, USA",955,High Point Place Northeast,Byron,Minnesota,United States,55920,"955, High Point Place Northeast, Byron, Olmsted County, Minnesota, United States, 55920, 4405",11/10/17 21:19
206,34.2825,-118.68,"2605 Yosemite Ave, Simi Valley, CA 93063, USA",2605,Yosemite Avenue,Simi Valley,California,United States,93063,"2605, Yosemite Avenue, Simi Valley, Ventura County, California, United States, 93063, 6546",11/10/17 20:44
207,38.2585,-85.6394,"287 N Hubbards Ln, Louisville, KY 40207, USA",287,North Hubbards Lane,Louisville,Kentucky,United States,40207,"287, North Hubbards Lane, Louisville, Jefferson County, Kentucky, United States, 40207, 2266",11/10/17 20:25
208,33.797,-117.836,"606 N Tustin St, Orange, CA 92867, USA",606,North Tustin Street,Orange,California,United States,92867,"606, North Tustin Street, Orange, Orange County, California, United States, 92867, 7145",11/10/17 19:26
209,44.005,-92.475,"1306 Apache Dr SW, Rochester, MN 55902, USA",1306,Apache Drive Southwest,Rochester,Minnesota,United States,55902,"1306, Apache Drive Southwest, Rochester, Olmsted County, Minnesota, United States, 55902, 2170",11/10/17 19:15
210,38.9426,-94.7016,"10460 W 103rd St, Overland Park, KS 66214, USA",10460,West 103rd Street,Overland Park,Kansas,United States,66214,"10460, West 103rd Street, Overland Park, Johnson County, Kansas, United States, 66214, 2640",11/10/17 18:58
211,32.9458,-96.7028,"1251 E Belt Line Rd, Richardson, TX 75081, USA",1251,East Belt Line Road,Richardson,Texas,United States,75081,"1251, East Belt Line Road, Richardson, Dallas County, Texas, United States, 75081, 3708",11/10/17 18:38
212,38.3548,-87.5921,"2001 W Broadway St, Princeton, IN 47670, USA",2001,West Broadway Street,Princeton,Indiana,United States,47670,"2001, West Broadway Street, Princeton, Patoka Township, Gibson County, Indiana, United States, 47670",11/10/17 18:36
213,40.5661,-90.0342,"10 E Sycamore St, Canton, IL 61520, USA",10,East Sycamore Street,Canton,Illinois,United States,61520,"10, East Sycamore Street, Canton, Canton Township, Fulton County, Illinois, United States, 61520",11/10/17 18:21
214,32.545,-117.039,"3000-3056 Via Nacional, San Diego, CA 92173, USA",3000-3056,Via Nacional,San Diego,California,United States,92173,"3000-3056, Via Nacional, San Ysidro, San Diego, San Diego County, California, United States, 92173",11/10/17 17:33
215,33.8109,-118.291,"927-931 Sepulveda Blvd, Torrance, CA 90502, USA",927-931,Sepulveda Boulevard,Torrance,California,United States,90502,"927-931, Sepulveda Boulevard, Torrance, Los Angeles County, California, United States, 90502",11/10/17 15:32
216,38.538,-91.002,"1110 Washington Square Shopping Center, Washington, MO 63090, USA",1110,Washington Square Shopping Center,Washington,Missouri,United States,63090,"1110, Washington Square Shopping Center, Washington, Washington Township, Franklin County, Missouri, United States, 63090",11/10/17 14:28
217,43.1285,-89.3588,"2901 Dryden Dr, Madison, WI 53704, USA",2901,Dryden Drive,Madison,Wisconsin,United States,53704,"2901, Dryden Drive, Sherman, Madison, Dane County, Wisconsin, United States, 53704, 3009",11/10/17 12:27
218,28.4238,-81.4613,"9814 International Dr, Orlando, FL 32819, USA",9814,International Drive,Orlando,Florida,United States,32819,"9814, International Drive, Orlando, Orange County, Florida, United States, 32819, 8123",11/10/17 11:27
219,42.051,-87.9782,"45 E Golf Rd, Arlington Heights, IL 60005, USA",45,East Golf Road,Arlington Heights,Illinois,United States,60005,"45, East Golf Road, Arlington Heights, Elk Grove Township, Cook County, Illinois, United States, 60005",11/10/17 11:15
220,32.7209,-96.8894,"4223 W Illinois Ave, Dallas, TX 75211, USA",4223,West Illinois Avenue,Dallas,Texas,United States,75211,"4223, West Illinois Avenue, Oak Cliff, Dallas, Dallas County, Texas, United States, 75211, 8458",11/10/17 10:42
221,34.4939,-85.336,"11240 US-27, Summerville, GA 30747, USA",11240,U.S. 27,Summerville,Georgia,United States,30747,"11240, U.S. 27, Summerville, Chattooga County, Georgia, United States, 30747",11/10/17 9:41
222,43.0606,-87.9956,"6631 W North Ave, Wauwatosa, WI 53213, USA",6631,West North Avenue,Wauwatosa,Wisconsin,United States,53213,"6631, West North Avenue, Wauwatosa, Milwaukee County, Wisconsin, United States, 53213, 2049",11/10/17 9:34
223,29.981,-90.179,"701 Clearview Pkwy, Metairie, LA 70001, USA",701,Clearview Parkway,Metairie,Louisiana,United States,70001,"701, Clearview Parkway, Metairie, 5, Jefferson Parish, Louisiana, United States, 70001",11/10/17 8:39
224,21.3398,-158.077,"91 Farrington Hwy, Kapolei, HI 96707, USA",91,Farrington Highway,Kapolei,Hawaii,United States,96707,"91, Farrington Highway, Kapolei, Honolulu County, Hawaii, United States, 96707",11/10/17 0:38
225,41.1401,-95.9678,"3709 Summit Plaza Dr, Bellevue, NE 68123, USA",3709,Summit Plaza Drive,Bellevue,Nebraska,United States,68123,"3709, Summit Plaza Drive, Bellevue, Bellevue Second II, Sarpy County, Nebraska, United States, 68123",11/9/17 22:30
226,34.4812,-82.6631,"331 SC-28B, Anderson, SC 29624, USA",331,South Carolina 28 Bypass,Anderson,South Carolina,United States,29624,"331, South Carolina 28 Bypass, Anderson, Anderson County, South Carolina, United States, 29624",11/9/17 22:11
227,29.0617,-81.3023,"1699 N Woodland Blvd, DeLand, FL 32720, USA",1699,North Woodland Boulevard,DeLand,Florida,United States,32720,"1699, North Woodland Boulevard, Berman Commercial, DeLand, Volusia County, Florida, United States, 32720, 1803",11/9/17 22:06
228,33.892,-117.206,"26089 Iris Ave, Moreno Valley, CA 92555, USA",26089,Iris Avenue,Moreno Valley,California,United States,92555,"26089, Iris Avenue, Moreno Valley, Riverside County, California, United States, 92555",11/9/17 21:57
229,34.1502,-118.091,"2797 Wenger Alley, Pasadena, CA 91107, USA",2797,Wenger Alley,Pasadena,California,United States,91107,"2797, Wenger Alley, Lamanda Park, Pasadena, Los Angeles County, California, United States, 91107",11/9/17 21:56
230,29.5677,-95.2867,"2120 N Main St, Pearland, TX 77581, USA",2120,North Main Street,Pearland,Texas,United States,77581,"2120, North Main Street, Pearland, Brazoria County, Texas, United States, 77581, 3310",11/9/17 21:54
231,33.9489,-118.166,"5734-5798 Firestone Blvd, South Gate, CA 90280, USA",5734-5798,Firestone Boulevard,South Gate,California,United States,90280,"5734-5798, Firestone Boulevard, South Gate, Los Angeles County, California, United States, 90280",11/9/17 19:17
232,41.6284,-86.1732,"3520 Bremen Hwy, Mishawaka, IN 46544, USA",3520,Bremen Highway,Mishawaka,Indiana,United States,46544,"3520, Bremen Highway, Mishawaka, Penn Township, St. Joseph County, Indiana, United States, 46544",11/9/17 18:14
233,36.0052,-80.4403,"5295-5301 US-158, Bermuda Run, NC 27006, USA",5295-5301,U.S. 158,Bermuda Run,North Carolina,United States,27006,"5295-5301, U.S. 158, Bermuda Run, Farmington, Davie County, North Carolina, United States, 27006",11/9/17 17:58
234,30.6608,-88.1911,"1400 Hillcrest Rd, Mobile, AL 36609, USA",1400,Hillcrest Road,Mobile,Alabama,United States,36609,"1400, Hillcrest Road, Overton, Mobile, Mobile County, Alabama, United States, 36609",11/9/17 16:45
235,37.1083,-79.2916,"404 Main St, Altavista, VA 24517, USA",404,Main Street,Altavista,Virginia,United States,24517,"404, Main Street, Altavista, Altavista, Campbell County, Virginia, United States, 24517",11/9/17 16:41
236,29.6641,-95.1238,"7437 Spencer Hwy, Pasadena, TX 77505, USA",7437,Spencer Highway,Pasadena,Texas,United States,77505,"7437, Spencer Highway, Spencer View Terrace, Pasadena, Harris County, Texas, United States, 77505, 1811",11/9/17 13:58
237,43.4725,-89.7684,"372-388 W Pine St, Baraboo, WI 53913, USA",372-388,West Pine Street,Baraboo,Wisconsin,United States,53913,"372-388, West Pine Street, Baraboo, Sauk County, Wisconsin, United States, 53913",11/9/17 15:44
238,42.2803,-89.2431,"103 Capriola Pkwy, Winnebago, IL 61088, USA",103,Capriola Parkway,Winnebago,Illinois,United States,61088,"103, Capriola Parkway, Winnebago, Winnebago Township, Winnebago County, Illinois, United States, 61088",11/9/17 7:36
